,City,Cloudiness,Country,Date,Humidity,Latitude,Longitute,Max Temperature,Wind Speed
0,Albany,1,US,1562201616,57,42.65,-73.75,81.0,3.36
1,Bluff,65,AU,1562201716,66,-23.58,149.07,66.14,19.53
2,New Norfolk,20,AU,1562201718,81,-42.78,147.06,44.6,6.93
3,Souillac,0,FR,1562201719,53,45.6,-0.6,73.99,9.17
4,Rikitea,100,PF,1562201500,81,-23.12,-134.97,65.24,23.98
5,Georgetown,40,GY,1562201698,83,6.8,-58.16,82.4,9.17
6,Khilok,47,RU,1562201723,78,51.36,110.46,61.1,3.09
7,Chodavaram,75,IN,1562201724,78,17.44,81.78,78.8,5.82
8,Orange,1,US,1562201670,47,33.79,-117.85,82.99,11.41
9,Ushuaia,0,AR,1562201726,92,-54.81,-68.31,24.8,12.75
10,Puerto Ayora,40,EC,1562201476,73,-0.74,-90.35,73.4,16.11
11,Rudnichnyy,100,RU,1562201729,98,59.7,60.29,56.6,3.85
12,San Francisco,82,CO,1562201443,99,1.17,-76.88,53.54,1.54
13,Whitianga,100,NZ,1562201731,99,-36.83,175.7,55.0,10.0
14,Vaini,75,IN,1562201733,100,15.34,74.49,71.6,5.82
15,Mataura,71,NZ,1562201734,88,-46.19,168.86,45.0,1.99
16,Busselton,100,AU,1562201735,44,-33.64,115.35,62.01,27.18
17,Storm Lake,1,US,1562201736,78,42.64,-95.21,84.2,8.05
18,Flinders,75,AU,1562201738,100,-34.58,150.85,57.99,10.29
19,Hithadhoo,47,MV,1562201739,78,-0.6,73.08,83.42,11.9
20,Victoria,75,BN,1562201740,100,5.28,115.24,78.01,3.36
21,Bathsheba,40,BB,1562201742,78,13.22,-59.52,82.4,19.46
22,Qaanaaq,74,GL,1562201743,44,77.48,-69.36,47.24,2.57
23,Barrow,79,AR,1562201744,73,-38.31,-60.23,39.32,10.6
24,Udachnyy,90,RU,1562201745,87,66.42,112.4,50.0,6.71
25,Ilulissat,0,GL,1562201747,73,69.22,-51.1,48.2,4.7
